Classification	Subgroup	GTDB_taxonomy	Exception_taxonomy
Methanogen	Class I Methanogen	d__Archaea; p__Methanobacteriota; c__Methanobacteria	
Methanogen	Class I Methanogen	d__Archaea; p__Methanobacteriota; c__Methanococci	
Methanogen	Class I Methanogen	d__Archaea; p__Methanobacteriota; c__Methanopyri	
Methanogen	Class I Methanogen	d__Archaea; p__Methanobacteriota_B; c__Thermococci; o__Methanofastidiosales	
Methanogen	Class II Methanogen	d__Archaea; p__Halobacteriota; c__Methanomicrobia	
Methanogen	Class II Methanogen	d__Archaea; p__Halobacteriota; c__Methanosarcinia	"ANME-2a, ANME-2b,  ANME-2c, ANME-2d, ANME-3, ethane-oxidizing"
Methanogen	Class II Methanogen	d__Archaea; p__Halobacteriota; c__Methanocellia	
Methanogen	Class II Methanogen	d__Archaea; p__Halobacteriota; c__Bog-38; o__Bog-38	
Methanogen	Class II Methanogen	d__Archaea; p__Halobacteriota; c__Syntropharchaeia; o__Alkanophagales; f__Methanospirareceae	ANME-1
Methanogen	Class II Methanogen	d__Archaea; p__Halobacteriota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__WYZ-LMO2	
Methanogen	Class III Methanogen	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales	
Methanogen	Class III Methanogen	d__Archaea; p__Thermoproteota; c__Methanomethylicia	
Anaerobic methanotroph (ANME)	ANME-1	d__Archaea; p__Halobacteriota; c__Syntropharchaeia; o__Alkanophagales; f__Methanospirareceae; g__ANME-1-THS	
Anaerobic methanotroph (ANME)	ANME-1	d__Archaea; p__Halobacteriota; c__Syntropharchaeia; o__Alkanophagales; f__Methanospirareceae; g__ANME1a	
Anaerobic methanotroph (ANME)	ANME-2a	d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales; f__Methanocomedenaceae; g__Methanocomedens	
Anaerobic methanotroph (ANME)	ANME-2b	d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales; f__Methanocomedenaceae; g__Methanomarinus	
Anaerobic methanotroph (ANME)	ANME-2c	d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales; f__Methanogasteraceae	
Anaerobic methanotroph (ANME)	ANME-2d	d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales; f__Methanoperedenaceae	
Anaerobic methanotroph (ANME)	ANME-3	d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales; f__Methanosarcinaceae; g__DQIP01	
Aerobic methanotroph (MOB)	NC10	d__Bacteria; p__Methylomirabilota; c__Methylomirabilia; o__Methylomirabilales; f__Methylomirabilaceae; g__Methylomirabilis; s__Methylomirabilis oxygeniifera	
Aerobic methanotroph (MOB)	Class I aerobic methanotrophs	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Methylococcales; f__Methylomonadaceae	
Aerobic methanotroph (MOB)	Class II aerobic methanotrophs	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae	
Aerobic methanotroph (MOB)	Class III aerobic methanotrophs	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia; o__Methylacidiphilales; f__Methylacidiphilaceae	
Anaerobic alkanotroph (ANKA)	AAO	d__Archaea; p__Halobacteriota; c__Syntropharchaeia; o__Syntropharchaeales	
Anaerobic alkanotroph (ANKA)	AAO	d__Archaea; p__Euryarchaeota; c__Candidatus Methanoliparia	
Anaerobic alkanotroph (ANKA)	AAO	d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__Bathyarchaeales; f__Bathyarchaeaceae	
Anaerobic alkanotroph (ANKA)	AAO	d__Archaea; p__Asgardarchaeota; c__Lokiarchaeia; o__Helarchaeales	
Anaerobic alkanotroph (ANKA)	AAO	d__Archaea; p__Halobacteriota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__Archaeoglobus fulgidus	
Anaerobic alkanotroph (ANKA)	Ethane-oxidizing	d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales; f__EX4572-44; g__Ethanoperedens	
